musica,artista,album,duracao_min,popularidade,uri
fdp,plutonio,carta de alforria,3.03,54,spotify:track:2XqznQosAqM7khgOKLlotw
champions league (feat. slow j & gson),mizzy miles,fim do nada,2.68,60,spotify:track:1kJml4AvYDxIMcJVt7nYlL
já entendi,papillon,já entendi,2.61,47,spotify:track:7FLWucanZJBBCLeWNRDTv9
tal e qual,plutonio,carta de alforria,2.98,53,spotify:track:35JnGLuFh6oMY7oV0e1SjY
6am em paris,plutonio,carta de alforria,2.39,52,spotify:track:4h28q7QSDbmiTKw9ziSujA
red right hand,arctic monkeys,crying lightning,4.33,50,spotify:track:0R194013qdfjeFiap76Nzs
summer of '69,bryan adams,reckless (30th anniversary / deluxe edition),3.6,86,spotify:track:0GONea6G2XdnHWjNZd6zt3
"baby, tu...",vale,"baby, tu...",3.41,6,spotify:track:5N8KNini94ZtVdEYRajo4T
insomnia,richie campbell,insomnia,3.13,57,spotify:track:2V8ZoOYTqoYN9g4HZiMyng
laurinda,karetus,laurinda,3.13,44,spotify:track:3drskGBsZCSm5r2t16a29G
ainda temos a lua,vale,ainda temos a lua,3.77,3,spotify:track:61dUvJahoYsIWRlOAMUpSm
tempo torto,branko,tempo torto,3.06,33,spotify:track:60z6QyxtPqMrWG0fxMvpPv
país das maravilhas,plutonio,carta de alforria,4.09,61,spotify:track:0qGRWcPOMkkt7edm4wMVRf
casa melhor,plutonio,carta de alforria,2.98,57,spotify:track:0vfN1RYc1aDmf46CpE7EsC
interestelar,plutonio,carta de alforria,3.14,68,spotify:track:12j1Mq9Of1xfONYvGzhayD
estrada (feat. slow j & profjam),mizzy miles,fim do nada,3.95,56,spotify:track:7EUmkQTk9tt93C5J746OzL
como 1 rei,plutonio,carta de alforria,3.19,52,spotify:track:0gp9v2rrbNE3BN5OAcYLhi
dark necessities,red hot chili peppers,the getaway,5.03,80,spotify:track:2oaK4JLVnmRGIO9ytBE1bt
luxemburgo,plutonio,carta de alforria,3.53,60,spotify:track:1yjYtmNf1DpfQMjBpVy5rg
