musica,artista,album,duracao_min,popularidade,uri
love is all we have left,u2,songs of experience (deluxe edition),2.69,42,spotify:track:20mcsmFnundXAD0T2DPWiW
the miracle (of joey ramone),u2,songs of innocence (deluxe),4.26,45,spotify:track:4sEKv3Ofgz8f1Z80WVenRR
sweet child o' mine,guns n' roses,appetite for destruction,5.93,90,spotify:track:7snQQk1zcKl8gZ92AnueZW
the emptiness machine,linkin park,from zero,3.17,85,spotify:track:1EDPVGbyPKJPeGqATwXZvN
over each other,linkin park,from zero,2.84,75,spotify:track:3k4gjmYNJugQRlh2aounZ9
nothing else matters - remastered 2021,metallica,metallica (remastered deluxe box set),6.48,84,spotify:track:6QAsrXPnMSXIbV0yEJHlEX
welcome to the jungle,guns n' roses,appetite for destruction,4.56,86,spotify:track:0G21yYKMZoHa30cYVi1iA8
zoo station,u2,achtung baby (deluxe edition),4.6,48,spotify:track:01E97908af7cRmFC9XXekH
paradise city,guns n' roses,appetite for destruction,6.76,84,spotify:track:6eN1f9KNmiWEhpE2RhQqB5
the kids aren't alright,the offspring,americana,3.0,85,spotify:track:4EchqUKQ3qAQuRNKmeIpnf
every breaking wave,u2,songs of innocence (deluxe),4.2,62,spotify:track:4z5eLUR8oCbRywMw1ytNol
"you're gonna go far, kid",the offspring,"rise and fall, rage and grace",2.96,84,spotify:track:6TfBA04WJ3X1d1wXhaCFVT
beautiful day,u2,all that you can't leave behind,4.14,76,spotify:track:0gzqZ9d1jIKo9psEIthwXe
come out and play,the offspring,smash,3.3,76,spotify:track:5JJDu0Z5DKe7mR31MGksSg
let the bad times roll,the offspring,let the bad times roll (deluxe edition),3.31,65,spotify:track:0O2UONKvVfdwDyefKh5Yo1
bad habit,the offspring,smash,3.73,64,spotify:track:5tFzUj1jV09bo4wBQWSbDl
song for someone,u2,songs of innocence (deluxe),3.78,55,spotify:track:47dKd4opEgipcKYEQm4CX4
(i can't get no) satisfaction - mono,the rolling stones,out of our heads,3.71,80,spotify:track:2PzU4IB8Dr6mxV3lHuaG34
california (there is no end to love),u2,songs of innocence,4.0,44,spotify:track:5o0iUgoa6t7cHWIZfqnKNh
master of puppets,metallica,master of puppets (remastered),8.59,81,spotify:track:2MuWTIM3b0YEAskbeeFE1i
book of your heart,u2,songs of experience (deluxe edition),3.92,37,spotify:track:0SeZv0QBimtX1BUbzmmTyO
enter sandman - remastered 2021,metallica,metallica (remastered deluxe box set),5.53,85,spotify:track:3DwQ7AH3xGD9h65ezslm6q
heavy is the crown,linkin park,from zero,2.78,82,spotify:track:2HBBM75Xv3o2Mqdyh1NcM0
the unforgiven - remastered 2021,metallica,metallica (remastered 2021),6.45,77,spotify:track:5lqyqPU3JkpCbUbLmTVQPW
highway to hell,ac/dc,highway to hell,3.47,87,spotify:track:2zYzyRzz6pRmhPzyfMEC8s
even better than the real thing,u2,achtung baby (deluxe edition),3.69,56,spotify:track:4bK2vKMdkS0rNhbzRqAZe0
thunderstruck,ac/dc,the razors edge,4.88,88,spotify:track:57bgtoPSgt236HzfBOd8kj
back in black,ac/dc,back in black,4.26,87,spotify:track:08mG3Y1vljYA6bvDt4Wqkj
the future is now,the offspring,days go by,4.14,57,spotify:track:2B17416FS7vL5qljgqfm7L
you’re the best thing about me,u2,songs of experience (deluxe edition),3.76,55,spotify:track:2dhJM2skHC9D41gHj34Kgw
lights of home,u2,songs of experience (deluxe edition),4.28,44,spotify:track:2pguQFntKxYZNGvXvZVWDp
one,u2,achtung baby (deluxe edition),4.6,78,spotify:track:3G69vJMWsX6ZohTykad2AU
rock n roll train,ac/dc,black ice,4.36,73,spotify:track:4feXJ5IC3avXsVW9WNFSag
until the end of the world,u2,achtung baby (deluxe edition),4.64,55,spotify:track:4iiX7axMHcc76BGM0QJEY5
red flag day,u2,songs of experience (deluxe edition),3.33,41,spotify:track:5EUCP8FTOGYUBqaYaYVpmm
tryin' to throw your arms around the world,u2,achtung baby (deluxe edition),3.88,45,spotify:track:5JZZtxJNwImgPCvLXfu0PU
"paint it, black",the rolling stones,aftermath,3.37,85,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8
iris (hold me close),u2,songs of innocence,5.32,45,spotify:track:7kbQE1Xbyf7kvcn4DVICiR
californication,red hot chili peppers,californication (deluxe edition),5.5,87,spotify:track:48UPSzbZjgc449aqz8bxox
bad liar,imagine dragons,origins (deluxe),4.35,83,spotify:track:2RSHsoi04658QL5xgQVov3
believer,imagine dragons,evolve,3.41,90,spotify:track:0pqnGHJpmpxLKifKRmU6WP
get out of your own way,u2,songs of experience (deluxe edition),3.97,48,spotify:track:4nXYb4yc3c1a3NWqdpDrnd
smoke on the water - remastered 2012,deep purple,machine head (remastered),5.68,76,spotify:track:5MMnwYs0hIxkENRsbkWJ2G
in the end,linkin park,hybrid theory (bonus edition),3.61,91,spotify:track:60a0Rd6pjrkxjPbaKzXjfq
livin' on a prayer,bon jovi,slippery when wet (deluxe edition),4.17,81,spotify:track:0ee1DiZF94NSqqpG0XHUzH
maps,maroon 5,v,3.17,86,spotify:track:4gbVRS8gloEluzf0GzDOFc
ordinary love - extraordinary mix,u2,songs of experience (deluxe edition),3.79,59,spotify:track:5K8cyMKcnG4rx5ocW3u7OW
you give love a bad name,bon jovi,slippery when wet (deluxe edition),3.71,79,spotify:track:2TofEeQobQ9YoK7EFds698
landlady,u2,songs of experience (deluxe edition),4.02,44,spotify:track:04yNTogtZSbl40k7GVvLuO
13 (there is a light),u2,songs of experience (deluxe edition),4.33,42,spotify:track:1I1wo7OASJIaQ9EgOrW9Dw
