artista,generos,seguidores,popularidade,uri
u2,rock,13291078,79,spotify:artist:51Blml2LZPmy7TTiAg47vQ
linkin park,nu metal|rap metal|rock|alternative metal,30219210,91,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
maroon 5,pop,45004280,88,spotify:artist:04gDigrS5kc9YWfZHwBETP
the script,nan,8643281,79,spotify:artist:3AQRLZ9PuTAozP28Skbq8V
the offspring,punk|skate punk,6347332,79,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ
coldplay,nan,58630186,91,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
imagine dragons,nan,57389920,88,spotify:artist:53XhwfbYqKCa1cC15pYq2q
guns n' roses,rock|glam metal|hard rock|classic rock,33978679,82,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC
stephen r. covey,nan,18218,42,spotify:artist:1nzB6VB5fVrA6Mf9Mh8zY7
xutos & pontapés,nan,356083,49,spotify:artist:1lQnDEcvFAWaUjbyZiHKih
r.e.m.,jangle pop|alternative rock|rock,5152600,75,spotify:artist:4KWTAlx2RvbpseOGMEmROg
bon jovi,glam metal|rock,15158672,80,spotify:artist:58lV9VcRSjABbAbfWS6skp
ac/dc,rock|hard rock|classic rock|rock and roll,31337707,83,spotify:artist:711MCceyCBcFnzjGY4Q7Un
muse,alternative rock|rock,8290453,78,spotify:artist:12Chz98pHFMPJEknJQMWvI
metallica,metal|thrash metal|rock|heavy metal|hard rock,30883684,85,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB
green day,punk|pop punk,16714243,84,spotify:artist:7oPftvlwr6VrsViSDV7fJY
red hot chili peppers,funk rock|alternative rock|rock,22592299,85,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
nirvana,grunge|rock,22329672,84,spotify:artist:6olE6TJLqED3rqDCT0FyPh
david guetta,edm|dance,27083054,90,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
keane,nan,3790258,76,spotify:artist:53A0W3U0s8diEn9RhXQhVz
foo fighters,rock|post-grunge|alternative rock|grunge,12640808,78,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD
thirty seconds to mars,nan,3840863,70,spotify:artist:0RqtSIYZmd4fiBKVFqyIqD
onerepublic,soft pop,18322812,85,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ
d.a.m.a,nan,405635,51,spotify:artist:4h5zTnUibCdGWia43hOo5y
amor electro,fado,74520,33,spotify:artist:0N4dP9aN5gm8AOo1qri3RB
scorpions,hard rock|glam metal|rock,8195216,75,spotify:artist:27T030eWyCQRmDyuvr1kxY
def leppard,glam metal|glam rock|classic rock,5470661,72,spotify:artist:6H1RjVyNruCmrBEWRbD0VZ
bárbara tinoco,portuguese hip hop,312330,52,spotify:artist:10okQWuBo3LEA8HSZ1VUMT
bryan adams,nan,4442664,78,spotify:artist:3Z02hBLubJxuFJfhacLSDc
tears for fears,new wave|synthpop,3913004,76,spotify:artist:4bthk9UfsYUYdcFyqxmSUU
banda go home,brazilian rock,19237,52,spotify:artist:55xvUppAG19F1CErLfAvZI
the rolling stones,classic rock|rock,15323384,80,spotify:artist:22bE4uQ6baNwSHPVcDxLCe
the killers,alternative rock,7834907,79,spotify:artist:0C0XlULifJtAgn6ZNCW2eu
lenny kravitz,nan,3527964,74,spotify:artist:5gznATMVO85ZcLTkE9ULU7
the verve,britpop|shoegaze,2614711,71,spotify:artist:2cGwlqi3k18jFpUyTrsR84
phil collins,soft rock,6907228,79,spotify:artist:4lxfqrEsLX6N1N4OCSkILp
inxs,nan,2964216,71,spotify:artist:1eClJfHLoDI4rZe5HxzBFv
pearl jam,grunge|rock|post-grunge,9631967,78,spotify:artist:1w5Kfo2jwwIPruYS2UWh56
oasis,britpop|madchester|rock,11626843,80,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4
the police,nan,7171797,79,spotify:artist:5NGO30tJxFlKixkPSgXcFE
os quatro e meia,nan,180392,52,spotify:artist:4pHDBbJMWvniiMjrhi2rfE
gnr,fado,104378,45,spotify:artist:6zo2w5Asb1DMFZErdRDrrK
da weasel,portuguese hip hop,119381,44,spotify:artist:71SuRO9s3mJNnwAlw7TD7l
the cranberries,nan,5084344,78,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9
robin schulz,tropical house,3230639,80,spotify:artist:3t5xRXzsuZmMDkQzgOX35S
journey,aor|classic rock,6229722,77,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt
survivor,nan,1325896,70,spotify:artist:26bcq2nyj5GB7uRr558iQg
galantis,nan,3446073,71,spotify:artist:4sTQVOfp9vEMCemLw50sbu
nasso graton,nan,248,15,spotify:artist:6lHdSlTeXhabWxLxBzL7Em
travis,britpop,1138762,62,spotify:artist:3bUwxJgNakzYKkqAVgZLlh
